,enumerator,geo_location,district,well_type,sw_bk_well_no,bk_dw_no,well_no_sw_bardiya,well_no_dw_bardiya,measurement_point_cm,Measurement_of_tape_ent_point_MP_in_m,wet_point_measruement_on_tape,gw_level,Notes,today,Audio_Notes,well_no,Month
36,yogendra,28.0493632 81.6616934 99.45600637836037 4.551,Banke,sw,bk-sw-08_1,,,,36,6.0,1.55,4.09,,2021-08-01,,bk-sw-08_1,Aug
37,yogendra,28.146513 81.5519981 91.42542889937971 4.551,Banke,sw,bk-sw-18_1,,,,27,5.0,2.9,1.83,,2021-07-30,,bk-sw-18_1,Jul
38,yogendra,28.1287279 81.5893933 94.89367019956954 4.551,Banke,sw,bk-sw-17_1,,,,15,3.0,2.4,0.45,,2021-07-30,,bk-sw-17_1,Jul
39,yogendra,28.1060573 81.5971598 98.80189738543883 4.551,Banke,sw,bk-sw-25_1,,,,35,2.8,0.5,1.95,,2021-07-30,,bk-sw-25_1,Jul
40,yogendra,28.0830328 81.5956347 104.32663732348149 4.551,Banke,sw,bk-sw-27,,,,40,4.55,0.5,3.65,,2021-07-30,,bk-sw-27,Jul
41,yogendra,28.0780775 81.5932978 89.70384837504258 4.551,Banke,sw,bk-sw-26,,,,25,5.0,2.78,1.97,,2021-07-30,,bk-sw-26,Jul
42,yogendra,28.0811704 81.6450556 88.65300726440996 4.854,Banke,sw,bk-sw-24_1,,,,54,5.0,3.0,1.46,,2021-07-29,,bk-sw-24_1,Jul
43,yogendra,28.0928925 81.6478425 102.43208886697725 4.803,Banke,sw,bk-sw-07_1,,,,15,2.35,0.5,1.7,,2021-07-29,,bk-sw-07_1,Jul
44,yogendra,28.1318064 81.658843 99.7581389738014 4.551,Banke,sw,bk-sw-06_1,,,,45,3.0,2.37,0.18,,2021-07-29,,bk-sw-06_1,Jul
45,yogendra,28.0150992 81.6543027 88.4639138786619 4.551,Banke,sw,bk-sw-09_1,,,,60,5.0,2.5,1.9,,2021-07-28,,bk-sw-09_1,Jul
